4 ಚತುರುಪಾಯಗಳು - ಸಾಮ, ದಾನ, ಭೇದ, ದಂಡ
4 ಚತುರ್ವೇದಗಳು - ಋಗ್ವೇದ, ಯಜುರ್ವೇದ, ಸಾಮವೇದ, ಅಥರ್ವಣವೇದ
4 ಉಪವೇದಗಳು - ಆಯುರ್ವೇದ, ಧನುರ್ವೇದ, ಗಂಧರ್ವವೇದ, ಸ್ಥಾಪತ್ಯ/ಅರ್ಥಶಾಸ್ತ್ರ
4 ಪುರುಷಾರ್ಥಗಳು - ಧರ್ಮ, ಅರ್ಥ, ಕಾಮ, ಮೋಕ್ಷ
4 ಅವಸ್ಥೆಗಳು - ಜಾಗ್ರತ್, ಸ್ವಪ್ನ, ಸುಷುಪ್ತಿ, ತುರೀಯ
4 ಯುಗಗಳು - ಸತ್ಯ, ತ್ರೇತಾ, ದ್ವಾಪರ, ಕಲಿ
4 ಚತುರ್ಮಠ - ಬದರಿ, ಪುರಿ, ಶೃಂಗೇರಿ, ದ್ವಾರಕಾ
4 ಚತುರ್ವೇದವಿಷಯ - ಸ್ತುತಿ, ಯಜ್ಞ, ಗಾನ, ತಂತ್ರ
4 ಚತುವ್ರ್ಯೂಹ - ವಾಸುದೇವ, ಸಂಕರ್ಷಣ, ಪ್ರದ್ಯುಮ್ನ, ಅನಿರುದ್ಧ
4 ಅನುಬಂಧಚತುಷ್ಟಯ - ಅಧಿಕಾರಿ, ವಿಷಯ, ಪ್ರಯೋಜನ, ಸಂಬಂಧ
4 ಅಂತಃಕರಣಚತುಷ್ಟಯ - ಮನಸ್, ಚಿತ್ತ, ಬುದ್ಧಿ, ಅಹಂಕಾರ
4 ವಿಭಾಗಚತುಷ್ಟಯ - ಸಂಹಿತಾ, ಬ್ರಾಹ್ಮಣ, ಆರಣ್ಯಕ, ಉಪನಿಷತ್
4 ಸಾಧನಾಚತುಷ್ಟಯ - ವಿವೇಕ, ವೈರಾಗ್ಯ, ಷಟ್ಸಂಪತ್ತಿ, ಮುಮುಕ್ಷತ್ವ
4 ಚತುರ್ವಿಧ ಅನ್ನ - ಭಕ್ಷ್ಯ, ಭೋಜ್ಯ, ಚೋಷ್ಯ, ಲೇಹ್ಯ
4 ಚತುರ್ವಿಧ ಅಭಿನಯ - ಆಂಗಿಕ, ವಾಚಿಕ, ಆಹಾರ್ಯ, ಸಾತ್ತ್ವಿಕ
4 ಚತುರ್ವಿಧ ಜನ - ಆರ್ತ, ಜಿಜ್ಞಾಸು, ಅರ್ಥಾರ್ಥೀ, ಜ್ಞಾನೀ
4 ಚತುರ್ವಿಧ ಜನನ - ಉದ್ಭಿಜ, ಸ್ವೇದಜ, ಅಂಡಜ, ಜರಾಯುಜ
4 ಚತುರ್ವಿಧ ದೀಕ್ಷಾ - ಮಂತ್ರ, ಸ್ಪರ್ಶ, ದೃಕ್, ಮಾನಸ
4 ಚತುರ್ವಿಧ ಪ್ರವೃತ್ತಿ - ಆಹಾರ, ನಿದ್ರಾ, ಭಯ, ಮೈಥುನ
