8 ಅಷ್ಟಸಿದ್ಧಿಗಳು - ಅಣಿಮಾ, ಮಹಿಮಾ, ಲಘಿಮಾ, ಗರಿಮಾ, ಪ್ರಾಪ್ತಿ, ಪ್ರಾಕಾಮ್ಯ, ವಶಿತ್ವ, ಈಶಿತ್ವ
8 ಅಷ್ಟಾಂಗ ಯೋಗ - ಯಮ, ನಿಯಮ, ಆಸನ, ಪ್ರಾಣಾಯಾಮ, ಪ್ರತ್ಯಾಹಾರ, ಧ್ಯಾನ, ಧಾರಣ, ಸಮಾಧಿ
8 ಅಷ್ಟದಿಕ್ಪಾಲಕರು(ಅಷ್ಟದಿಕ್ಕುಗಳು) - ಇಂದ್ರ(ಪೂರ್ವ), ಅಗ್ನಿ(ಆಗ್ನೇಯ), ಯಮ(ದಕ್ಷಿಣ), ನಿಋತಿ(ನೈಋತ್ಯ), ವರುಣ(ಪಶ್ಚಿಮ), ವಾಯು(ವಾಯುವ್ಯ), ಕುಬೇರ(ಉತ್ತರ), ಈಶಾನ(ಈಶಾನ್ಯ)
8 ಅಷ್ಟಲಕ್ಷ್ಮೀ - ಆದಿ/ಮಹಾ ಲಕ್ಷ್ಮೀ, ಧಾನ್ಯಲಕ್ಷ್ಮೀ, ಧೈರ್ಯ/ವೀರ ಲಕ್ಷ್ಮೀ, ಗಜಲಕ್ಷ್ಮೀ, ಸಂತಾನಲಕ್ಷ್ಮೀ, ವಿಜಯ/ಜಯ ಲಕ್ಷ್ಮೀ, ವಿದ್ಯಾಲಕ್ಷ್ಮೀ, ಧನಲಕ್ಷ್ಮೀ
8 ಅಷ್ಟಲಕ್ಷ್ಮೀಯರು - ಆದಿಲಕ್ಷ್ಮೀ, ವಿದ್ಯಾಲಕ್ಷ್ಮೀ, ಸೌಭಾಗ್ಯಲಕ್ಷ್ಮೀ, ಅಮೃತಲಕ್ಷ್ಮೀ, ಕಾಮಲಕ್ಷ್ಮೀ, ಸತ್ಯಲಕ್ಷ್ಮೀ, ಭೋಗಲಕ್ಷ್ಮೀ, ಯೋಗಲಕ್ಷ್ಮೀ
8 ಅಷ್ಟಾಕ್ಷರ - ಅಕಾರ, ಉಕಾರ, ಮಕಾರ, ನಾದ, ಬಿಂದು, ಕಲಾ, ಶಾಂತಿ, ಅತಿಶಾಂತಿ
8 ಅಷ್ಟಾಂಗಚಿಕಿತ್ಸಾ - ಕಾಯ, ಬಾಲ, ಗ್ರಹ, ಊಧ್ರ್ವಾಂಗ, ಶಲ್ಯ, ದಂಷ್ಟ್ರ, ಜರಾ, ವೃಷ
8 ಅಷ್ಟಾಂಗ ನಮಸ್ಕಾರ - ಶಿರಸ್, ಉರಸ್, ಕರದ್ವಯ(2), ಜಾನುದ್ವಯ(2), ಪಾದದ್ವಯ(2)
8 ಅಷ್ಟಾಂಗಭೋಗ - ಅನ್ನ, ಉದಕ, ತಾಂಬೂಲ, ಪುಷ್ಪ, ಚಂದನ, ವಸನ, ಶಯ್ಯಾ, ಅಲಂಕಾರ
8 ಅಷ್ಟೈಶ್ವರ್ಯ - ಆಯು, ಆರೋಗ್ಯ, ಅನ್ನ, ವಿತ್ತ, ವಿದ್ಯಾ, ವೃತ್ತಿ, ಸಂತಾನ, ಬಲ
8 ಅಷ್ಟದಿಗ್ಗಜ - ಐರಾವತ, ಪುಂಡರೀಕ, ವಾಮನ, ಕುಮುದ, ಅಂಜನ, ಪುಷ್ಪದಂತ, ಸಾರ್ವಭೌಮ, ಸುಪ್ರತೀಕ
